Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,8549.327073213513
0,1,0.04,0.021,0.04,0.02,0.00010568317686676066,8142.216260203346
0,2,0.04,0.021,0.039,0.02,0.00010442653980532473,8245.942942016676
0,3,0.04,0.021,0.039,0.019,9.964817737921465e-05,7833.64579491584
0,4,0.04,0.021,0.038,0.019,9.851406243126873e-05,7936.050739916155
0,5,0.04,0.021,0.038,0.02,0.00010316990274388881,8353.737620964375
0,6,0.041,0.021,0.038,0.02,0.0001045553451041219,8251.233890871645
0,7,0.041,0.021,0.039,0.02,0.00010581198216555783,8144.76189611366
0,8,0.041,0.022000000000000002,0.039,0.02,0.00011135061001383665,7774.545446290313
0,9,0.041,0.022000000000000002,0.039,0.021,0.00011637401666692672,8163.272718604828
0,10,0.04,0.022000000000000002,0.039,0.021,0.00011485348582258926,8264.683721430349
0,11,0.04,0.022000000000000002,0.039,0.022000000000000002,0.00012012193670265935,8658.24008911751
0,12,0.04,0.022000000000000002,0.039,0.021,0.00011485348582258926,8264.683721430349
0,13,0.04,0.023000000000000003,0.039,0.021,0.0001205083525990509,7905.349646585552
0,14,0.039,0.023000000000000003,0.039,0.021,0.00011884645008530191,8006.058797658138
0,15,0.039,0.023000000000000003,0.04,0.021,0.00012023189244553499,7905.349646585552
0,16,0.039,0.023000000000000003,0.04,0.02,0.00011507968049364775,7528.9044253195725
0,17,0.039,0.023000000000000003,0.041,0.02,0.00011633631755508365,7436.521731234211
0,18,0.039,0.023000000000000003,0.041,0.019,0.00011131291090199358,7064.6956446725
0,19,0.038,0.023000000000000003,0.041,0.019,0.00010965100838824458,7157.048527082143
0,20,0.039,0.023000000000000003,0.041,0.019,0.00011131291090199358,7064.6956446725
0,21,0.038,0.023000000000000003,0.041,0.019,0.00010965100838824458,7157.048527082143
0,22,0.039,0.023000000000000003,0.041,0.019,0.00011131291090199358,7064.6956446725
0,23,0.039,0.023000000000000003,0.042,0.019,0.00011244702584993949,6980.085458997309
0,24,0.039,0.023000000000000003,0.042,0.02,0.00011759295461651958,7347.458377891904
0,25,0.039,0.023000000000000003,0.043000000000000003,0.02,0.0001188495916779555,7261.520235834831
0,26,0.038,0.023000000000000003,0.043000000000000003,0.02,0.00011718768916420647,7356.446097922181
0,27,0.038,0.023000000000000003,0.044000000000000004,0.02,0.00011844432622564243,7272.3696670097015
0,28,0.038,0.023000000000000003,0.045000000000000005,0.02,0.00011970096328707833,7191.111589610364
0,29,0.038,0.024000000000000004,0.045000000000000005,0.02,0.0001253118477663897,6891.481940043266
0,30,0.037,0.024000000000000004,0.045000000000000005,0.02,0.000123502290397922,6983.9891925433685
0,31,0.037,0.024000000000000004,0.046000000000000006,0.02,0.00012475892745935792,6907.659149955459
0,32,0.037,0.025000000000000005,0.046000000000000006,0.02,0.00013045463494031618,6631.352783957242
0,33,0.036,0.025000000000000005,0.046000000000000006,0.02,0.00012849113953182257,6722.824039907315
0,34,0.034999999999999996,0.025000000000000005,0.046000000000000006,0.02,0.00012652764412332895,6818.188009342586
0,35,0.036,0.025000000000000005,0.046000000000000006,0.02,0.00012849113953182257,6722.824039907315
0,36,0.036,0.025000000000000005,0.046000000000000006,0.019,0.0001228551223112825,6386.682837911949
0,37,0.036,0.026000000000000006,0.046000000000000006,0.019,0.00012862308642327337,6141.041190299951
0,38,0.036,0.026000000000000006,0.045000000000000005,0.019,0.00012748897147532744,6208.900059044614
