,w,V
1,186.32154517114466,0.0001537138601741998
4,724.2595764801509,9.462678404058214e-06
9,497.9802445116802,2.075343717824928e-05
14,2406.7512709675625,1.0666527810642504e-06
16,148.83864088776727,0.0002371958325959655
25,578.0013394335759,1.7855836977831085e-05
30,273.725916708317,7.800084569267181e-05
35,177.95533841600846,0.00017899885454632667
37,2358.20244383565,1.3107461746864285e-06
38,191.14235449510687,0.00014264537601462368
39,128.440796213257,0.00027863115061229504
40,1010.4379339357096,6.55167512787387e-06
42,411.676605269432,3.217519635109606e-05
44,518.4734158103862,1.829175980296548e-05
65,6401.529907127358,3.359963058665459e-07
66,295.51839575951396,5.522610557658189e-05
72,1263.544285344297,3.4285225687813845e-06
86,275.7275512805389,7.634004521043405e-05
87,1594.974918908922,2.091119509734057e-06
91,441.11966551430055,2.58613691579203e-05
92,911.7742113794792,6.663335439519345e-06
96,114.754820393693,0.0003489914033438268
97,1292.244741609277,3.001463504487113e-06
99,854.9447068897663,7.095205545005807e-06
101,241.19599020357825,8.018861242330045e-05
102,151.653015277139,0.00019993457603109498
106,227.09642048970636,8.929911937828171e-05
109,149.4162349076172,0.0002279219839059302
110,290.08331664033483,6.681601063601786e-05
111,665.5978831874885,1.2169162448910096e-05
113,2218.8243742898735,1.9439498147180466e-06
116,1467.1963545075052,2.552948671909896e-06
117,321.2064944757118,4.47631213225801e-05
120,5778.325816356364,3.738063079749257e-07
126,378.978403982038,4.0514203647446676e-05
129,769.7270369440181,8.495617878387188e-06
130,7924.157825764155,2.732848378141542e-07
135,194.0810988066601,0.00012217197149069246
136,194.02329966478132,0.00012224462212849735
137,299.09925619359433,5.223293615993296e-05
144,206.35227385182534,0.00011208916193076608
148,11503.410955941456,1.894096321268032e-07
