,w,V
33,269.66668461038864,6.340362293474922e-05
34,501.8718813148435,2.4078947138549118e-05
40,237.79637346073807,9.064344726057046e-05
43,330.7215148674655,4.502216431859533e-05
45,776.2610024947071,7.872612286952781e-06
52,460.7814189648629,2.5660528794521417e-05
62,187.26330443146912,0.00013121123732456134
64,747.9154578780871,8.461243425483452e-06
70,867.7283786226757,6.532370219357162e-06
72,7031.521644727698,5.694894808088889e-07
75,305.0888980294678,5.150326996295107e-05
82,705.3176135402372,1.123096862197352e-05
87,539.2579973206217,1.6240578301743824e-05
98,519.0280426601347,1.7298881884037438e-05
103,251.6035354875482,7.279678995024524e-05
106,264.49687562332787,6.672428636959364e-05
109,9060.41494175165,3.072706448692607e-07
116,1318.3680236487978,3.1660463432674938e-06
119,277.6472700101565,5.982534890231044e-05
120,268.16346221717333,6.411362287446052e-05
123,387.6458591274339,3.081274074640867e-05
126,149.01803155384596,0.00020920048229917826
127,261.5130039368532,6.740304944985571e-05
135,274.8716902857436,6.258680884481589e-05
136,310.50506151462184,4.7884155226015626e-05
137,295.3492260018543,5.289813710114494e-05
141,306.8732984322782,4.901827017396154e-05
143,332.7370498976371,4.3338270656271196e-05
144,351.241708022081,3.747605876467263e-05
