Experiment,l_c,r_c,l_n,r_n,V,w
0,0.031999999999999994,0.031000000000000007,0.038,0.016999999999999998,0.00013111122780491645,5377.895557776222
1,0.045000000000000005,0.025000000000000005,0.037,0.001,8.84735323103958e-05,335.23148124208166
2,0.07772498795470882,0.03868967737495807,0.05782739547434972,0.001,0.00036569292351496576,131.8407507897122
3,0.036,0.027000000000000007,0.04,0.001,8.257362130695415e-05,333.7697038653802
4,0.044195461061587456,0.022323939291778654,0.0548713344479563,0.001,6.936650607030776e-05,311.0709784384737
5,0.038,0.026000000000000006,0.033999999999999996,0.001,8.080804623563669e-05,365.9209871044942
6,0.039,0.023000000000000003,0.044000000000000004,0.001,6.4952428112969e-05,358.92643537738985
7,0.06398136534776595,0.02892638843160291,0.012,0.001,0.00016822445891054414,426.65843405895185
8,0.04134496743048584,0.007354449770112361,0.06821897362756249,0.001,7.239746035675857e-06,875.5436848320109
9,0.044000000000000004,0.016999999999999998,0.04,0.001,4.00741558891914e-05,479.4978545607999
10,0.04,0.018,0.043000000000000003,0.001,4.0850129274628075e-05,458.094623938266
11,0.038,0.019,0.039,0.001,4.321889013543479e-05,467.5350999258105
12,0.04040758746529624,0.001,0.030057109257885455,0.001,2.2137137356298038e-07,9812.66240850708
13,0.041,0.02,0.038,0.002,5.199964160221827e-05,866.3795585415226
14,0.042,0.016999999999999998,0.038,0.001,3.8252032150109315e-05,503.53140066921424
15,0.042,0.023000000000000003,0.04,0.001,6.992556928360164e-05,362.75169193086674
16,0.04110959511129608,0.022047347779322247,0.08,0.001,6.302908196800073e-05,270.4699231325013
17,0.038,0.018,0.039,0.001,3.880181086448753e-05,493.50927214391106
18,0.038,0.018,0.038,0.001,3.879866927183394e-05,499.9606475563458
19,0.0530875899673724,0.01190130022277405,0.0681355031188441,0.001,2.383687201996426e-05,477.76493734685613
20,0.03336026983710079,0.01627763459254268,0.04907497387294059,0.001,2.7923287203348547e-05,519.2252602212197
21,0.03599310604854363,0.03650271153067278,0.0784709697898709,0.001,0.00015091397845516026,176.27983052690763
22,0.038,0.022000000000000002,0.044000000000000004,0.001,5.791840216158144e-05,380.1465962300526
23,0.01203546930071826,0.010095739029095066,0.03592138340350371,0.001,3.966650009443745e-06,1629.092582432286
24,0.06669832935483025,0.0319689290589311,0.06895213696054163,0.001,0.00021436806218645254,157.73660623445886
25,0.045000000000000005,0.019,0.041,0.001,5.116397795636337e-05,419.02519553511405
26,0.07037321557615793,0.018850244928853302,0.08,0.001,7.880948031486873e-05,241.78326319714571
27,0.07494520854501402,0.018446168663341908,0.011,0.001,8.014812948397732e-05,645.6802010236988
28,0.03820538978618487,0.008018611490804597,0.06970220894998136,0.001,7.936408660116616e-06,826.4320729251492
29,0.05604997579401023,0.010813109107705176,0.04313843653534297,0.001,2.0724107102089682e-05,643.1635494145864
30,0.025180225703675542,0.018436082425493484,0.042042205244246775,0.001,2.7019353520270817e-05,570.0995906327252
31,0.036,0.021,0.037,0.001,4.9992163896574384e-05,446.1907025328812
32,0.039,0.023000000000000003,0.046000000000000006,0.001,6.495871129827616e-05,351.03697886961385
33,0.044000000000000004,0.02,0.037,0.001,5.540826963136319e-05,423.77440977517574
34,0.038,0.019,0.042,0.001,4.322831491339555e-05,450.5280953356127
35,0.042,0.024000000000000004,0.04,0.001,7.61270731817879e-05,347.637038100414
36,0.05320258495696606,0.03721292584511885,0.019574960532355194,0.001,0.000231518454908245,284.76151288492576
37,0.039,0.018,0.038,0.001,3.981654529159704e-05,493.50927214391106
38,0.030341113968096634,0.0035532243308918857,0.047652754990466076,0.001,1.3531516595022178e-06,2531.1013091026166
39,0.06349355215860832,0.004495885643887555,0.038732030598978416,0.001,4.153582650906896e-06,1533.8282140340993
40,0.042,0.022000000000000002,0.038,0.001,6.398167598300974e-05,389.0924459716655
41,0.038,0.022000000000000002,0.041,0.001,5.790897738362066e-05,393.80889024614663
42,0.03791053052408599,0.04,0.0753707703606148,0.001,0.00019079589495951655,159.9375813652771
43,0.042,0.018,0.041,0.001,4.2879598128847084e-05,457.82852189784
44,0.05863293633003778,0.017562862217829444,0.023897917506225472,0.001,5.689257552624575e-05,520.1705714821065
45,0.024396448544674054,0.02007962781310675,0.06835619783045918,0.001,3.11168335237708e-05,417.0460490310936
46,0.042,0.018,0.039,0.001,4.2873314943539904e-05,469.4209519208718
47,0.041,0.025000000000000005,0.039,0.001,8.062583386172848e-05,342.07999963677366
48,0.039,0.022000000000000002,0.043000000000000003,0.001,5.943579141326531e-05,379.57946687318434
49,0.043000000000000003,0.02,0.039,0.001,5.415791575523445e-05,417.5374135605028
50,0.05196021476474302,0.02326102154525741,0.07542644726443924,0.001,8.856088762200353e-05,234.83663316325712
51,0.07232285592334264,0.036631897646048406,0.07711787737020452,0.002,0.0003058598598224236,250.00413096517278
52,0.038,0.021,0.056000000000000015,0.001,5.2822738877458786e-05,353.0098446621858
53,0.02507296370205262,0.002,0.07446361283825308,0.001,5.490104933327787e-07,3957.191250744693
54,0.037,0.015999999999999997,0.07000000000000002,0.002,3.0636811557807647e-05,839.9473312959409
55,0.076469343264933,0.02489680729507849,0.079,0.001,0.00014915842072255799,176.72217174426237
56,0.05608585321619656,0.017874660442351035,0.05466429727292817,0.001,5.646789713842327e-05,345.52189499888937
57,0.02527713187244645,0.03743804008565795,0.06833227315540773,0.001,0.00011151690500293707,219.78699306058786
58,0.07461024093279434,0.03469935909855921,0.05055494493469211,0.001,0.00028238105483275266,160.46836519316332
59,0.04800000000000001,0.02,0.041,0.001,6.044738424772121e-05,385.43343093784074
60,0.05335969460251118,0.02306018707525259,0.02514936493724282,0.001,8.922234048934212e-05,404.81716428832135
61,0.04,0.021,0.042,0.001,5.5549641300774725e-05,397.2994721147589
62,0.06355239878946949,0.03510559582142116,0.07474435432442804,0.002,0.00024699558112793686,282.67695194041687
63,0.04,0.02,0.08,0.014999999999999996,0.00010681415022205295,4533.965361038259
64,0.05948375923577352,0.001,0.07478454303091667,0.001,4.2181631201100763e-07,5127.2772029155485
65,0.010847570118690392,0.020403975274879964,0.04721161546789793,0.001,1.4336017026589675e-05,740.604712878101
66,0.031164340780714027,0.003,0.06761609373694417,0.001,1.0935731998043625e-06,2483.228350328942
67,0.041,0.02,0.041,0.001,5.1650924817669794e-05,417.04034503480545
68,0.043000000000000003,0.019,0.038,0.001,4.8886323282510766e-05,445.2585796110794
69,0.036,0.021,0.043000000000000003,0.001,5.001101345249592e-05,413.8921130066323
70,0.041,0.021,0.04,0.001,5.6928800475700645e-05,402.11539912621896
71,0.05728748731527697,0.036897573878626105,0.0168538386142425,0.001,0.00024507505411878214,298.2735959809981
72,0.042,0.021,0.046000000000000006,0.001,5.833309239185529e-05,370.4836680583511
73,0.041,0.02,0.06100000000000002,0.001,5.17137566707416e-05,341.90470882350263
74,0.04417581859744714,0.014706297035996949,0.029952981286465827,0.001,3.0109293444090427e-05,639.2581292401794
75,0.06210436341295869,0.01607615801314642,0.05696598599685008,0.001,5.060287400561059e-05,357.6356392243037
76,0.038,0.018,0.042,0.001,3.88112356424483e-05,475.557433965369
77,0.02278456647861986,0.017511963041680692,0.05978501072689088,0.001,2.2139123246332847e-05,529.1033984358578
78,0.06037110457326773,0.03315304159727522,0.019281240825984272,0.001,0.00020852202258198142,302.33365510601607
79,0.038,0.02,0.05100000000000001,0.001,4.791242955989794e-05,388.40520531867344
80,0.06876708520557395,0.018250127109841103,0.08,0.002,7.296052485629542e-05,505.26675497178076
81,0.041,0.023000000000000003,0.06200000000000001,0.001,6.833278180823162e-05,294.9010470251288
82,0.042,0.023000000000000003,0.039,0.001,6.992242769094806e-05,367.3729188945952
83,0.05477646219587526,0.03634336413889631,0.06528971158418306,0.001,0.00022750232269479437,157.3430025104867
84,0.04,0.018,0.039,0.001,4.0837562904013714e-05,481.0133382843061
85,0.017728561201304078,0.04,0.051553076276399365,0.001,8.927542697167418e-05,282.79250438713444
86,0.039,0.021,0.079,0.001,5.4280437868724456e-05,293.37748397765034
87,0.013604832358157196,0.027542213657377537,0.03234953799615798,0.001,3.252370013365142e-05,591.8510766461598
88,0.04,0.027000000000000007,0.039,0.001,9.173136389216843e-05,320.67555885620396
89,0.04551782941739256,0.024448913781188703,0.07105465210298759,0.001,8.570047736680954e-05,245.94914884577307
90,0.04409559852374677,0.005856017539623399,0.08,0.001,5.001942592283727e-06,983.2114792076881
91,0.041,0.019,0.042,0.001,4.663065975723331e-05,433.7322839032168
92,0.043000000000000003,0.021,0.038,0.001,5.9693402010859666e-05,402.8530006005005
93,0.042,0.023000000000000003,0.04,0.001,6.992556928360164e-05,362.75169193086674
94,0.038,0.015999999999999997,0.06300000000000001,0.001,3.0759333671297645e-05,436.82739622592254
95,0.038,0.021,0.07600000000000003,0.001,5.2885570730530584e-05,303.02191218300817
96,0.01837473487977314,0.0073404374943740825,0.07732750127628879,0.001,3.353321488993459e-06,1235.9259459197904
97,0.026195579391738152,0.038,0.019733401341497363,0.001,0.0001188971869417816,395.8160024639905
98,0.041,0.018,0.042,0.001,4.186486370173758e-05,457.82852189784
99,0.042656273058736836,0.002,0.034390572039950246,0.001,6.440757047568497e-07,4464.273301762402
100,0.011101696334124743,0.009477173456562227,0.021723770348508184,0.001,3.200789040989576e-06,2323.5435710368383
101,0.042,0.019,0.06400000000000002,0.002,4.843707553304743e-05,694.3104249044482
102,0.0415897060536132,0.006223324376636993,0.04308046156602707,0.001,5.195691774467833e-06,1298.184400385978
103,0.045781298283889334,0.02586481684647866,0.0738311125952961,0.001,9.645005065963285e-05,227.41481706273078
104,0.016116031933179686,0.02633786900009147,0.04737933460683885,0.001,3.5270039470081384e-05,469.8808569663723
105,0.037,0.019,0.042,0.002,4.249004063980195e-05,913.1514458387488
106,0.04,0.02,0.08,0.001,5.051680986972388e-05,302.26435740255073
107,0.035530746264878156,0.0032647798451652596,0.07627556783156877,0.001,1.4293939946882255e-06,2012.0702215705203
108,0.038,0.02,0.04,0.001,4.7877872040708445e-05,438.57122510062965
