Experiment,l_c,r_c,l_n,r_n,V,w
49,0.0180767898856843,0.0020846009962872,0.0121516359691333,0.001,2.849595275224036e-07,9816.98325898362
21,0.0710953119031829,0.0019948157437686,0.0539097442028785,0.001,1.0581468310418045e-06,2394.1130978144874
42,0.0358429505146155,0.004,0.066111581832883,0.001,2.009358860118564e-06,1588.7554109313285
19,0.01,0.0108084310068415,0.0723319037756635,0.001,3.897314428229607e-06,1069.6076588247256
12,0.0154899255754924,0.0092476729053185,0.0725166690683647,0.001,4.389454145056167e-06,1001.4381349748172
68,0.0712131823705005,0.0051305134070203,0.0668493918795368,0.001,6.098882923428412e-06,867.4114493315649
107,0.0222445502366149,0.0105131503035027,0.0522143518465852,0.001,7.887982577673442e-06,865.3412837839234
148,0.0287101664703988,0.0108547293135494,0.0776223253893749,0.001,1.08711733520486e-05,597.7712628720511
145,0.0478532600753706,0.0098911464680355,0.0729762466489728,0.001,1.4937297114264884e-05,521.1913175484781
77,0.0348565232726921,0.0143403145504834,0.053782025637477,0.001,2.268807495799221e-05,490.26886119640665
83,0.0743380654001014,0.0110064314981513,0.0651811291025704,0.001,2.849615680825608e-05,393.581898230549
95,0.04,0.0149999999999999,0.08,0.001,2.8525661294595305e-05,355.1120439129803
100,0.04,0.0159999999999999,0.08,0.001,3.2421236185046645e-05,332.281074736566
132,0.038,0.0169999999999999,0.079,0.001,3.474915634135669e-05,322.65616679672434
67,0.037,0.018,0.08,0.001,3.791274014352161e-05,306.4686169649901
136,0.038,0.018,0.08,0.001,3.893061616328471e-05,302.2778465569221
111,0.039,0.019,0.071,0.001,4.445353604829557e-05,299.9300378699351
128,0.039,0.019,0.08,0.001,4.448181038217788e-05,282.14433483372784
94,0.041,0.019,0.077,0.001,4.674061550010895e-05,280.3978429505649
141,0.043,0.019,0.08,0.001,4.901827017396154e-05,268.30309911524165
91,0.044,0.019,0.08,0.001,5.0152385121907465e-05,265.1462017270005
133,0.041,0.02,0.08,0.001,5.177344693115979e-05,260.88211139642766
129,0.041,0.021,0.073,0.001,5.703247303326912e-05,260.0384078124124
134,0.042,0.021,0.078,0.001,5.843362335677017e-05,248.30155658981585
144,0.038,0.023,0.077,0.001,6.339419815678845e-05,239.74013396681408
59,0.0593796342080084,0.0186558694946008,0.079,0.001,6.517414593878915e-05,233.06109432627275
44,0.043,0.022,0.079,0.001,6.563101212614439e-05,232.4104130852223
138,0.04,0.024,0.08,0.001,7.263362215099604e-05,219.2778798331056
112,0.04,0.025,0.078,0.001,7.878486056672488e-05,213.05696003598987
51,0.0737365777879176,0.0184329645867828,0.079,0.001,7.895697431884093e-05,211.13964182507164
126,0.04,0.027,0.08,0.001,9.18601691909656e-05,194.48305017067736
87,0.0585320492190523,0.0279312495258339,0.08,0.001,0.0001437091818028,154.7964146642051
101,0.0505683609795985,0.031922628455838,0.079,0.001,0.0001621404275025,146.58201615409104
