Experiment,l_c,r_c,l_n,r_n,V,w
53,0.0217131614944206,0.0016224821950859,0.0306885815820872,0.001,2.759806221017294e-07,6850.553108296914
7,0.0709430636889608,0.001,0.0550642101061013,0.001,3.95863525653445e-07,3988.207021931967
68,0.08,0.001,0.08,0.001,5.026548245743669e-07,3122.386369001321
21,0.0299387423546931,0.0052102538720277,0.0734351798914922,0.001,2.7839996022228963e-06,1260.4203106839332
6,0.0219237189588789,0.0088863703222363,0.0485482740175583,0.001,5.591441948018514e-06,1065.865522504107
26,0.0326280415036742,0.0090476035408463,0.0420097013064372,0.001,8.522866881250796e-06,916.979847569043
125,0.0281342578841252,0.0099492103628786,0.0638748893341689,0.001,8.949752430567468e-06,726.1109891945176
71,0.0629662941504731,0.0081690539862331,0.0494416797937252,0.001,1.3356164755873272e-05,666.777898891637
31,0.0127149114336265,0.023755065400121,0.0659670015386277,0.001,2.2748370889559512e-05,439.08945458715567
115,0.04,0.0139999999999999,0.067,0.001,2.484057311193448e-05,415.2041564274777
27,0.0355193174676565,0.0165731690535229,0.069322876844571,0.001,3.0867440295678986e-05,364.637175198696
137,0.04,0.0159999999999999,0.08,0.001,3.2421236185046645e-05,330.5417038943231
95,0.036,0.018,0.076,0.001,3.6882297753144166e-05,317.3797924108578
90,0.037,0.018,0.08,0.001,3.791274014352161e-05,304.8681309131388
45,0.038,0.018,0.08,0.001,3.893061616328471e-05,300.69986219427904
140,0.04,0.018,0.08,0.001,4.096636820281089e-05,292.8450666387323
94,0.039,0.019,0.074,0.001,4.446296082625634e-05,291.98611135242595
96,0.04,0.019,0.08,0.001,4.561592533012379e-05,277.0365353304522
102,0.038,0.02,0.08,0.001,4.8003535746852034e-05,269.8761912163433
131,0.039,0.02,0.08,0.001,4.926017280828796e-05,266.2915124112431
50,0.038,0.021,0.08,0.001,5.289813710114494e-05,256.71493208019564
122,0.039,0.021,0.08,0.001,5.428357946137804e-05,253.3093702505994
133,0.036,0.022,0.079,0.001,5.498729621578216e-05,253.27594790530537
145,0.039,0.022,0.079,0.001,5.954888874879454e-05,243.07190879498415
123,0.041,0.023,0.074,0.001,6.837048092007469e-05,233.9663512263955
103,0.041,0.023,0.079,0.001,6.838618888334265e-05,226.39300243684616
64,0.041,0.023,0.08,0.001,6.838933047599623e-05,224.96394673770283
65,0.050346114265095,0.0208613732465195,0.08,0.001,6.908510697929778e-05,223.699143961274
37,0.039,0.024,0.08,0.001,7.082406478252833e-05,220.99140870286269
139,0.042,0.024,0.078,0.001,7.624645370262433e-05,215.48822921290528
112,0.043,0.024,0.079,0.001,7.805915266374562e-05,211.5504288376361
136,0.039,0.028,0.068,0.001,9.627096527660566e-05,204.883558093794
119,0.0521518278795668,0.0275880153664058,0.08,0.001,0.0001249495679783,165.3648532996324
43,0.0361922550758884,0.0338964602264718,0.08,0.001,0.0001308907379188,161.6146006833085
22,0.0627771314603825,0.0312709591718645,0.08,0.001,0.0001931075894275,132.6058508751574
78,0.0620260487559766,0.0393248867831396,0.079,0.001,0.0003015896893294,106.57838430165825
