,w,V
6,1065.865522504107,5.591441948018514e-06
7,3988.2070219319667,3.95863525653445e-07
21,1260.4203106839332,2.7839996022228963e-06
22,132.6058508751574,0.00019310758942756799
26,916.979847569043,8.522866881250796e-06
27,364.63717519869596,3.0867440295678986e-05
31,439.08945458715567,2.2748370889559512e-05
37,220.99140870286269,7.082406478252833e-05
43,161.6146006833085,0.00013089073791881358
45,300.69986219427904,3.893061616328471e-05
50,256.71493208019564,5.289813710114494e-05
53,6850.553108296914,2.759806221017294e-07
64,224.96394673770283,6.838933047599623e-05
65,223.69914396127402,6.908510697929778e-05
68,3122.386369001321,5.026548245743669e-07
71,666.777898891637,1.3356164755873272e-05
78,106.57838430165823,0.00030158968932948076
90,304.8681309131388,3.791274014352161e-05
94,291.98611135242595,4.446296082625634e-05
95,317.3797924108578,3.6882297753144166e-05
96,277.0365353304522,4.561592533012379e-05
102,269.8761912163433,4.8003535746852034e-05
103,226.39300243684616,6.838618888334265e-05
112,211.5504288376361,7.805915266374562e-05
115,415.2041564274777,2.4840573111934476e-05
119,165.36485329963241,0.00012494956797837187
122,253.3093702505994,5.428357946137804e-05
123,233.9663512263955,6.837048092007469e-05
125,726.1109891945176,8.949752430567468e-06
131,266.2915124112431,4.9260172808287956e-05
133,253.27594790530537,5.4987296215782155e-05
136,204.88355809379397,9.627096527660566e-05
137,330.5417038943231,3.2421236185046645e-05
139,215.48822921290528,7.624645370262433e-05
140,292.8450666387323,4.096636820281089e-05
145,243.07190879498418,5.954888874879454e-05
