Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,5615.223914734399
0,1,0.04,0.02,0.039,0.02,9.927432785343747e-05,5675.205330758803
0,2,0.041,0.02,0.039,0.02,0.0001005309649148734,5615.223914734399
0,3,0.041,0.02,0.039,0.021,0.00010555437156796346,5760.315968885567
0,4,0.041,0.019,0.039,0.021,0.0001005309649148734,5953.48762184407
0,5,0.041,0.019,0.039,0.022000000000000002,0.00010579941579494347,6077.673440840863
0,6,0.041,0.019,0.039,0.023000000000000003,0.00011131291090199358,6185.382466446266
0,7,0.041,0.019,0.039,0.024000000000000004,0.00011707145023602367,6275.800410381034
0,8,0.042,0.019,0.039,0.024000000000000004,0.00011820556518396958,6215.841230529356
0,9,0.042,0.019,0.04,0.024000000000000004,0.00012001512255243731,6149.199950020612
0,10,0.042,0.019,0.04,0.025000000000000005,0.00012617264415347332,6221.2452880711835
0,11,0.043000000000000003,0.019,0.04,0.025000000000000005,0.00012730675910141922,6164.470001652021
0,12,0.043000000000000003,0.019,0.039,0.025000000000000005,0.0001253432636929256,6230.72919821298
0,13,0.042,0.019,0.039,0.025000000000000005,0.00012420914874497967,6289.055770426276
0,14,0.041,0.019,0.039,0.025000000000000005,0.00012307503379703377,6348.102388674217
0,15,0.041,0.019,0.04,0.025000000000000005,0.0001250385292055274,6278.702849615488
0,16,0.041,0.019,0.041,0.025000000000000005,0.000127002024614021,6210.630573895737
0,17,0.041,0.018,0.041,0.025000000000000005,0.00012223622855852528,6342.359842420742
0,18,0.04,0.018,0.041,0.025000000000000005,0.0001212183525387622,6398.232388410414
0,19,0.04,0.018,0.042,0.025000000000000005,0.00012318184794725583,6327.520417407701
0,20,0.04,0.016999999999999998,0.042,0.025000000000000005,0.00011878361823223009,6433.457356293713
0,21,0.04,0.016999999999999998,0.041,0.025000000000000005,0.00011682012282373647,6506.3919453823755
0,22,0.04,0.016999999999999998,0.042,0.025000000000000005,0.00011878361823223009,6433.457356293713
0,23,0.04,0.016999999999999998,0.042,0.026000000000000006,0.00012551290969621946,6431.929742101146
0,24,0.04,0.016999999999999998,0.043000000000000003,0.026000000000000006,0.00012763662633004616,6360.039463687664
0,25,0.04,0.016999999999999998,0.044000000000000004,0.026000000000000006,0.00012976034296387285,6289.5530977309245
0,26,0.041,0.016999999999999998,0.044000000000000004,0.026000000000000006,0.00013066826324076032,6242.259695742913
0,27,0.041,0.018,0.044000000000000004,0.026000000000000006,0.00013517644869866168,6166.278897252592
0,28,0.041,0.018,0.043000000000000003,0.026000000000000006,0.00013305273206483495,6233.538265542092
0,29,0.041,0.018,0.043000000000000003,0.025000000000000005,0.00012616321937551254,6205.382197618856
0,30,0.041,0.018,0.043000000000000003,0.026000000000000006,0.00013305273206483495,6233.538265542092
0,31,0.04,0.018,0.043000000000000003,0.026000000000000006,0.00013203485604507185,6284.399902152461
0,32,0.041,0.018,0.043000000000000003,0.026000000000000006,0.00013305273206483495,6233.538265542092
0,33,0.041,0.018,0.042,0.026000000000000006,0.00013092901543100826,6302.093179188282
0,34,0.041,0.018,0.042,0.027000000000000007,0.00013792220067789914,6309.353851589979
0,35,0.042,0.018,0.042,0.027000000000000007,0.00013894007669766224,6259.529020609757
0,36,0.042,0.019,0.042,0.027000000000000007,0.0001438221116813408,6174.353023865264
0,37,0.042,0.019,0.043000000000000003,0.027000000000000007,0.00014611233272580773,6108.592617302805
0,38,0.042,0.02,0.043000000000000003,0.027000000000000007,0.00015125826149238784,6002.40421917213
0,39,0.042,0.02,0.043000000000000003,0.028000000000000008,0.0001586881281181277,6036.557394864324
0,40,0.042,0.02,0.043000000000000003,0.027000000000000007,0.00015125826149238784,6002.40421917213
0,41,0.042,0.02,0.042,0.027000000000000007,0.00014896804044792087,6066.167112837082
0,42,0.042,0.02,0.043000000000000003,0.027000000000000007,0.00015125826149238784,6002.40421917213
0,43,0.042,0.02,0.043000000000000003,0.028000000000000008,0.0001586881281181277,6036.557394864324
0,44,0.042,0.02,0.042,0.028000000000000008,0.0001562251194777133,6101.0578749781835
0,45,0.042,0.019,0.042,0.028000000000000008,0.00015107919071113323,6188.429020479154
0,46,0.042,0.02,0.042,0.028000000000000008,0.0001562251194777133,6101.0578749781835
0,47,0.042,0.019,0.042,0.028000000000000008,0.00015107919071113323,6188.429020479154
0,48,0.042,0.019,0.042,0.027000000000000007,0.0001438221116813408,6174.353023865264
0,49,0.042,0.02,0.042,0.027000000000000007,0.00014896804044792087,6066.167112837082
0,50,0.041,0.02,0.042,0.027000000000000007,0.00014771140338648494,6118.593922758766
0,51,0.042,0.02,0.042,0.027000000000000007,0.00014896804044792087,6066.167112837082
0,52,0.042,0.021,0.042,0.027000000000000007,0.0001543778629974025,5942.99963993377
0,53,0.042,0.021,0.042,0.026000000000000006,0.0001473846777505116,5877.141154186778
0,54,0.042,0.021,0.042,0.025000000000000005,0.00014065538628652225,5797.201523597526
0,55,0.043000000000000003,0.021,0.042,0.025000000000000005,0.00014204082864675537,5743.684736015807
0,56,0.043000000000000003,0.02,0.042,0.025000000000000005,0.00013650220079847655,5892.823051682299
0,57,0.044000000000000004,0.02,0.042,0.025000000000000005,0.00013775883785991248,5839.67965979471
0,58,0.044000000000000004,0.019,0.042,0.025000000000000005,0.00013236786486635238,5982.337546618202
0,59,0.044000000000000004,0.019,0.042,0.024000000000000004,0.0001259024671852646,5910.886333856327
0,60,0.043000000000000003,0.019,0.042,0.024000000000000004,0.00012476835223731867,5964.922701039861
0,61,0.043000000000000003,0.019,0.041,0.024000000000000004,0.00012295879486885094,6027.6627076186805
0,62,0.043000000000000003,0.019,0.041,0.023000000000000003,0.0001169049458253834,5938.823978177244
0,63,0.043000000000000003,0.019,0.04,0.023000000000000003,0.00011524304331163441,6001.445896990785
0,64,0.043000000000000003,0.019,0.039,0.023000000000000003,0.0001135811407978854,6065.269170383566
0,65,0.043000000000000003,0.019,0.038,0.023000000000000003,0.0001119192382841364,6130.322984187338
0,66,0.043000000000000003,0.019,0.039,0.023000000000000003,0.0001135811407978854,6065.269170383566
0,67,0.043000000000000003,0.02,0.039,0.023000000000000003,0.0001188495916779555,5890.640984713624
0,68,0.044000000000000004,0.02,0.039,0.023000000000000003,0.0001201062287393914,5832.954770506412
0,69,0.045000000000000005,0.02,0.039,0.023000000000000003,0.00012136286580082733,5776.234943736509
0,70,0.045000000000000005,0.02,0.039,0.024000000000000004,0.00012712140513485742,5878.957087336941
0,71,0.045000000000000005,0.02,0.039,0.023000000000000003,0.00012136286580082733,5776.234943736509
0,72,0.045000000000000005,0.02,0.039,0.022000000000000002,0.00011584937069377722,5659.705255595715
0,73,0.045000000000000005,0.02,0.039,0.023000000000000003,0.00012136286580082733,5776.234943736509
0,74,0.045000000000000005,0.02,0.039,0.024000000000000004,0.00012712140513485742,5878.957087336941
0,75,0.045000000000000005,0.021,0.039,0.024000000000000004,0.00013291764358073062,5714.684046061143
0,76,0.046000000000000006,0.021,0.039,0.024000000000000004,0.00013430308594096371,5659.868883672644
0,77,0.046000000000000006,0.021,0.039,0.023000000000000003,0.00012854454660693362,5549.861565749484
0,78,0.046000000000000006,0.021,0.039,0.022000000000000002,0.0001230310514998835,5428.048841503199
0,79,0.04700000000000001,0.021,0.039,0.022000000000000002,0.0001244164938601166,5375.066609020969
0,80,0.04700000000000001,0.021,0.039,0.023000000000000003,0.0001299299889671667,5496.315363150013
0,81,0.04700000000000001,0.021,0.039,0.022000000000000002,0.0001244164938601166,5375.066609020969
0,82,0.04800000000000001,0.021,0.039,0.022000000000000002,0.0001258019362203497,5323.074565474934
0,83,0.04800000000000001,0.021,0.039,0.023000000000000003,0.0001313154313273998,5443.71418614516
0,84,0.04800000000000001,0.021,0.039,0.024000000000000004,0.0001370739706614299,5552.956247341735
0,85,0.04800000000000001,0.02,0.039,0.024000000000000004,0.00013089131631916517,5713.925838205752
0,86,0.04700000000000001,0.02,0.039,0.024000000000000004,0.00012963467925772927,5768.085672556693
0,87,0.04700000000000001,0.021,0.039,0.024000000000000004,0.0001356885283011968,5605.966004926432
0,88,0.04700000000000001,0.021,0.039,0.025000000000000005,0.0001416921118622069,5703.51496993968
0,89,0.046000000000000006,0.021,0.039,0.025000000000000005,0.00014030666950197378,5757.551568034603
0,90,0.046000000000000006,0.022000000000000002,0.039,0.025000000000000005,0.00014652073977077442,5601.894312793499
0,91,0.046000000000000006,0.022000000000000002,0.039,0.024000000000000004,0.00014051715620976433,5497.558275805992
0,92,0.046000000000000006,0.022000000000000002,0.038,0.024000000000000004,0.0001387075988412966,5552.863684325744
0,93,0.046000000000000006,0.022000000000000002,0.038,0.023000000000000003,0.00013309671436198523,5436.405471328864
0,94,0.045000000000000005,0.022000000000000002,0.038,0.023000000000000003,0.00013157618351764778,5490.723368889913
0,95,0.045000000000000005,0.022000000000000002,0.038,0.024000000000000004,0.00013718706799695912,5607.688407777121
0,96,0.045000000000000005,0.022000000000000002,0.039,0.024000000000000004,0.00013899662536542688,5551.201124496822
0,97,0.045000000000000005,0.022000000000000002,0.04,0.024000000000000004,0.0001408061827338946,5495.795168387985
0,98,0.045000000000000005,0.022000000000000002,0.039,0.024000000000000004,0.00013899662536542688,5551.201124496822
0,99,0.044000000000000004,0.022000000000000002,0.039,0.024000000000000004,0.0001374760945210894,5605.819527858546
1,0,0.04,0.02,0.04,0.02,0.0001005309649148734,5615.223914734399
1,1,0.04,0.02,0.04,0.019,9.563008037527331e-05,5458.316709692584
1,2,0.041,0.02,0.04,0.019,9.688671743670922e-05,5400.2903961775455
1,3,0.042,0.02,0.04,0.019,9.814335449814515e-05,5343.551088212772
1,4,0.041,0.02,0.04,0.019,9.688671743670922e-05,5400.2903961775455
1,5,0.04,0.02,0.04,0.019,9.563008037527331e-05,5458.316709692584
1,6,0.04,0.019,0.04,0.019,9.072919583567323e-05,5658.638521681442
1,7,0.04,0.019,0.04,0.018,8.607963870836033e-05,5490.546666157686
1,8,0.04,0.019,0.041,0.018,8.709751472812343e-05,5433.153738611966
1,9,0.04,0.019,0.041,0.016999999999999998,8.258932927022207e-05,5253.151917078158
1,10,0.04,0.019,0.041,0.015999999999999997,7.833875440991507e-05,5059.320613985103
1,11,0.04,0.019,0.041,0.014999999999999996,7.434579014720245e-05,4851.798082323998
1,12,0.04,0.019,0.041,0.013999999999999995,7.061043648208416e-05,4630.593233984399
1,13,0.04,0.018,0.041,0.013999999999999995,6.596087935477128e-05,4836.299158883964
1,14,0.04,0.018,0.041,0.012999999999999994,6.248313628724737e-05,4596.449056489215
1,15,0.04,0.018,0.041,0.011999999999999993,5.926300381731783e-05,4341.135692258466
1,16,0.04,0.018,0.041,0.010999999999999992,5.630048194498266e-05,4070.083527062393
1,17,0.04,0.018,0.041,0.009999999999999992,5.359557067024183e-05,3782.9426712972986
1,18,0.04,0.016999999999999998,0.041,0.009999999999999992,4.9197340955216124e-05,3977.0507412614484
1,19,0.039,0.016999999999999998,0.041,0.009999999999999992,4.8289420678328684e-05,4025.1224544102415
1,20,0.039,0.016999999999999998,0.041,0.010999999999999992,5.099433195306949e-05,4324.593691103616
1,21,0.039,0.016999999999999998,0.042,0.010999999999999992,5.137446466415386e-05,4280.365222058764
1,22,0.039,0.016999999999999998,0.041,0.010999999999999992,5.099433195306949e-05,4324.593691103616
1,23,0.039,0.016999999999999998,0.042,0.010999999999999992,5.137446466415386e-05,4280.365222058764
1,24,0.039,0.016999999999999998,0.041,0.010999999999999992,5.099433195306949e-05,4324.593691103616
1,25,0.039,0.016999999999999998,0.041,0.009999999999999992,4.8289420678328684e-05,4025.1224544102415
1,26,0.039,0.015999999999999997,0.041,0.009999999999999992,4.424619093315861e-05,4240.372518448183
1,27,0.039,0.014999999999999996,0.041,0.009999999999999992,4.0448005414968546e-05,4477.0996515963025
1,28,0.04,0.014999999999999996,0.041,0.009999999999999992,4.115486376202625e-05,4424.194133751757
1,29,0.041,0.014999999999999996,0.041,0.009999999999999992,4.186172210908396e-05,4372.849626118336
1,30,0.041,0.014999999999999996,0.041,0.010999999999999992,4.456663338382477e-05,4684.905043001308
1,31,0.041,0.014999999999999996,0.041,0.009999999999999992,4.186172210908396e-05,4372.849626118336
1,32,0.041,0.014999999999999996,0.04,0.009999999999999992,4.154756284372498e-05,4419.08104347494
1,33,0.041,0.013999999999999995,0.04,0.009999999999999992,3.781220917860671e-05,4677.903508884746
1,34,0.041,0.013999999999999995,0.04,0.010999999999999992,4.0451147007622136e-05,5001.939062452977
1,35,0.042,0.013999999999999995,0.04,0.010999999999999992,4.106689916772574e-05,4945.497828931717
1,36,0.042,0.012999999999999994,0.04,0.010999999999999992,3.7504333098554916e-05,5235.7705599728215
1,37,0.042,0.012999999999999994,0.041,0.010999999999999992,3.788446580963927e-05,5179.901743257147
1,38,0.042,0.012999999999999994,0.042,0.010999999999999992,3.826459852072364e-05,5125.329175172171
1,39,0.042,0.011999999999999993,0.042,0.010999999999999992,3.496592623445436e-05,5435.134710263319
1,40,0.042,0.011999999999999993,0.042,0.009999999999999992,3.219504151398816e-05,5109.773711267898
1,41,0.042,0.011999999999999993,0.042,0.010999999999999992,3.496592623445436e-05,5435.134710263319
1,42,0.042,0.011999999999999993,0.042,0.009999999999999992,3.219504151398816e-05,5109.773711267898
1,43,0.043000000000000003,0.011999999999999993,0.042,0.009999999999999992,3.264743085610509e-05,5053.688401578127
1,44,0.044000000000000004,0.011999999999999993,0.042,0.009999999999999992,3.309982019822202e-05,4998.988793594374
1,45,0.043000000000000003,0.011999999999999993,0.042,0.009999999999999992,3.264743085610509e-05,5053.688401578127
1,46,0.043000000000000003,0.011999999999999993,0.042,0.00899999999999999,3.014043991854043e-05,4698.531977647951
1,47,0.043000000000000003,0.012999999999999994,0.042,0.00899999999999999,3.3517652021149465e-05,4405.31608698878
1,48,0.043000000000000003,0.012999999999999994,0.041,0.00899999999999999,3.326318301620869e-05,4451.560420353042
1,49,0.043000000000000003,0.012999999999999994,0.04,0.00899999999999999,3.3008714011267916e-05,4498.9948272139845
1,50,0.043000000000000003,0.012999999999999994,0.04,0.00799999999999999,3.087243100682686e-05,4116.248461155054
1,51,0.043000000000000003,0.012999999999999994,0.039,0.00799999999999999,3.067136907699711e-05,4160.892482865771
1,52,0.043000000000000003,0.013999999999999995,0.039,0.00799999999999999,3.4318758147814865e-05,3903.0568706312433
1,53,0.043000000000000003,0.013999999999999995,0.038,0.00799999999999999,3.411769621798511e-05,3945.789668787979
1,54,0.043000000000000003,0.013999999999999995,0.038,0.00699999999999999,3.232698840543894e-05,3543.3019961056907
1,55,0.043000000000000003,0.012999999999999994,0.038,0.00699999999999999,2.8679599334621185e-05,3785.467109933017
1,56,0.042,0.012999999999999994,0.038,0.00699999999999999,2.814867017616451e-05,3829.8791156588077
1,57,0.043000000000000003,0.012999999999999994,0.038,0.00699999999999999,2.8679599334621185e-05,3785.467109933017
1,58,0.043000000000000003,0.012999999999999994,0.039,0.00699999999999999,2.8833537374647086e-05,3743.9054008821963
1,59,0.043000000000000003,0.012999999999999994,0.039,0.00599999999999999,2.724074989927706e-05,3295.811424171269
1,60,0.043000000000000003,0.012999999999999994,0.039,0.00499999999999999,2.5893006650887043e-05,2815.8369467480316
1,61,0.044000000000000004,0.012999999999999994,0.039,0.00499999999999999,2.6423935809343724e-05,2783.5970491404833
1,62,0.044000000000000004,0.012999999999999994,0.038,0.00499999999999999,2.6345395993003975e-05,2815.2156821166163
1,63,0.044000000000000004,0.013999999999999995,0.038,0.00499999999999999,3.0077608065468647e-05,2625.1666797718344
1,64,0.044000000000000004,0.013999999999999995,0.038,0.00599999999999999,3.139079379466918e-05,3077.883701261509
1,65,0.044000000000000004,0.012999999999999994,0.038,0.00599999999999999,2.765858172220451e-05,3294.6881094805813
1,66,0.045000000000000005,0.012999999999999994,0.038,0.00599999999999999,2.8189510880661184e-05,3257.766338294766
1,67,0.046000000000000006,0.012999999999999994,0.038,0.00599999999999999,2.8720440039117855e-05,3221.9522941319074
1,68,0.046000000000000006,0.012999999999999994,0.037,0.00599999999999999,2.860734270358862e-05,3258.4747794111004
1,69,0.046000000000000006,0.012999999999999994,0.037,0.00499999999999999,2.7328714493577577e-05,2784.694091367681
1,70,0.046000000000000006,0.011999999999999993,0.037,0.00499999999999999,2.3715882941949316e-05,3000.472688610002
