,w,V
13,178.14882925574204,0.00012902060439445973
51,356.10531333138863,2.9108478796479254e-05
57,6021.580116324638,2.6664046974273505e-07
71,205.2206245656884,8.340681458815755e-05
74,818.5276922185614,5.873301685935618e-06
83,465.3845157903508,2.479381036403365e-05
84,1161.8813097186387,3.3914323258459336e-06
99,260.98031470294177,5.4274154683417275e-05
100,255.82014661903017,5.428672105403163e-05
103,293.2354935142048,4.221043889363246e-05
108,249.39297539645594,5.7054464181844234e-05
109,265.51833371380025,5.051680986972388e-05
111,308.25734274718616,3.928247454048677e-05
116,567.023401222847,1.1993110296708785e-05
117,237.78158501225155,6.505610067053745e-05
118,255.88753717139784,5.428357946137804e-05
122,276.3158060579742,4.675004027806971e-05
123,247.26968039634394,5.8031499497110666e-05
124,328.6727668357667,3.5644510247629785e-05
125,240.8409977297381,6.107256118578559e-05
126,179.32760110523898,0.00010847292120082022
132,210.08540674669538,8.05560672614159e-05
134,189.99337634572586,9.715955948694623e-05
135,272.62385467226244,4.8003535746852034e-05
136,244.94539195645848,5.982220730965686e-05
141,270.98721602245354,4.850512361234793e-05
142,248.87659614934438,5.8028357904457076e-05
144,117.87721575579923,0.0003060723889286902
147,305.7071519138688,3.993906740508704e-05
