Experiment,Iteration,l_c,r_c,l_n,r_n,V,w
0,0,0.04,0.02,0.04,0.02,0.0001005309649148734,6698.025815988648
0,1,0.039,0.02,0.04,0.02,9.927432785343747e-05,6782.916121615621
0,2,0.039,0.02,0.041,0.02,0.0001005309649148734,6698.025815988647
0,3,0.038,0.02,0.041,0.02,9.927432785343747e-05,6782.916121615622
0,4,0.038,0.02,0.042,0.02,0.0001005309649148734,6698.025815988647
0,5,0.038,0.021,0.042,0.02,0.0001054255662691663,6490.689032187294
0,6,0.038,0.021,0.042,0.019,0.0001002796375025862,6272.340245759719
0,7,0.038,0.022000000000000002,0.042,0.019,0.00010541299989855194,6075.938799628782
0,8,0.038,0.022000000000000002,0.041,0.019,0.00010427888495060602,6152.277221569705
0,9,0.037,0.022000000000000002,0.041,0.019,0.00010275835410626855,6232.01977874864
0,10,0.037,0.023000000000000003,0.041,0.019,0.00010798910587449557,6040.747727868972
0,11,0.037,0.022000000000000002,0.041,0.019,0.00010275835410626855,6232.01977874864
0,12,0.038,0.022000000000000002,0.041,0.019,0.00010427888495060602,6152.277221569705
0,13,0.037,0.022000000000000002,0.041,0.019,0.00010275835410626855,6232.01977874864
0,14,0.036,0.022000000000000002,0.041,0.019,0.0001012378232619311,6314.0985256625
0,15,0.036,0.021,0.041,0.019,9.63746378341741e-05,6517.853157780921
0,16,0.036,0.021,0.04,0.019,9.524052288622817e-05,6603.027683375098
0,17,0.036,0.021,0.04,0.018,9.059096575891527e-05,6362.006803866875
0,18,0.036,0.021,0.039,0.018,8.957308973915219e-05,6446.131495810547
0,19,0.036,0.021,0.039,0.019,9.410640793828226e-05,6690.6108276808645
0,20,0.036,0.021,0.038,0.019,9.297229299033634e-05,6780.712387949357
0,21,0.036,0.021,0.038,0.02,9.762813330295641e-05,7017.170395474956
0,22,0.036,0.021,0.037,0.02,9.637149624152051e-05,7113.271862453853
0,23,0.036,0.021,0.037,0.021,0.00010113729229701621,7341.940671983072
0,24,0.036,0.021,0.037,0.022000000000000002,0.00010613556620887757,7559.962646573128
0,25,0.036,0.021,0.037,0.021,0.00010113729229701621,7341.940671983072
0,26,0.036,0.022000000000000002,0.037,0.021,0.00010600047772477321,7124.66581106291
0,27,0.036,0.022000000000000002,0.036,0.021,0.00010461503536454013,7223.687544531648
0,28,0.036,0.022000000000000002,0.037,0.021,0.00010600047772477321,7124.66581106291
0,29,0.036,0.022000000000000002,0.037,0.02,0.0001012346816692775,6896.498828200406
0,30,0.036,0.022000000000000002,0.037,0.021,0.00010600047772477321,7124.66581106291
0,31,0.036,0.022000000000000002,0.037,0.02,0.0001012346816692775,6896.498828200406
0,32,0.036,0.022000000000000002,0.038,0.02,0.00010249131873071343,6803.4453612615
0,33,0.036,0.022000000000000002,0.038,0.021,0.00010738592008500633,7028.409797860317
0,34,0.036,0.021,0.038,0.021,0.0001025227346572493,7242.614009954768
0,35,0.036,0.021,0.037,0.021,0.00010113729229701621,7341.940671983072
0,36,0.036,0.021,0.037,0.02,9.637149624152051e-05,7113.271862453853
0,37,0.036,0.02,0.037,0.02,9.173450548482195e-05,7341.1147004827135
0,38,0.036,0.019,0.037,0.02,8.732370939918188e-05,7580.601374927469
0,39,0.036,0.019,0.038,0.02,8.85803464606178e-05,7477.877197600489
0,40,0.036,0.019,0.038,0.019,8.392450614799773e-05,7240.887147993402
0,41,0.036,0.019,0.038,0.02,8.85803464606178e-05,7477.877197600489
0,42,0.036,0.018,0.038,0.02,8.43957450460362e-05,7725.979665775065
0,43,0.036,0.018,0.039,0.02,8.56523821074721e-05,7622.271561043569
0,44,0.036,0.016999999999999998,0.039,0.02,8.169397536394897e-05,7879.085495304691
0,45,0.036,0.016999999999999998,0.038,0.02,8.043733830251305e-05,7986.645657615087
0,46,0.034999999999999996,0.016999999999999998,0.038,0.02,7.95294180256256e-05,8095.115259734582
0,47,0.034999999999999996,0.018,0.038,0.02,8.337786902627311e-05,7831.294263630864
0,48,0.034999999999999996,0.018,0.038,0.021,8.827247038056601e-05,8057.549581494491
0,49,0.034999999999999996,0.018,0.037,0.021,8.688702802033289e-05,8170.564146443925
0,50,0.034999999999999996,0.019,0.037,0.021,9.095539050673167e-05,7916.880561908813
0,51,0.034999999999999996,0.02,0.037,0.021,9.524366447888176e-05,7674.863260504327
0,52,0.034999999999999996,0.02,0.037,0.02,9.047786842338605e-05,7443.1954862659695
0,53,0.036,0.02,0.037,0.02,9.173450548482195e-05,7341.1147004827135
0,54,0.036,0.02,0.038,0.02,9.299114254625788e-05,7241.793660865498
0,55,0.036,0.019,0.038,0.02,8.85803464606178e-05,7477.877197600489
0,56,0.036,0.019,0.038,0.019,8.392450614799773e-05,7240.887147993402
0,57,0.036,0.019,0.037,0.019,8.27903912000518e-05,7340.2019733492925
0,58,0.036,0.019,0.037,0.018,7.848955085728738e-05,7086.793724159312
0,59,0.036,0.019,0.037,0.016999999999999998,7.44211883708886e-05,6819.692222868249
0,60,0.036,0.019,0.037,0.018,7.848955085728738e-05,7086.793724159312
0,61,0.036,0.019,0.036,0.018,7.747167483752429e-05,7185.3015727769825
0,62,0.036,0.019,0.037,0.018,7.848955085728738e-05,7086.793724159312
0,63,0.037,0.019,0.037,0.018,7.962366580523329e-05,6990.853546895218
0,64,0.037,0.02,0.037,0.018,8.415698400436337e-05,6755.232278457578
0,65,0.037,0.02,0.037,0.016999999999999998,8.008862151796459e-05,6493.148699365866
0,66,0.037,0.02,0.038,0.016999999999999998,8.099654179485205e-05,6406.569718130233
0,67,0.037,0.019,0.038,0.016999999999999998,7.646322359572196e-05,6637.578550645304
0,68,0.037,0.019,0.037,0.016999999999999998,7.55553033188345e-05,6727.315812269556
0,69,0.038,0.019,0.037,0.016999999999999998,7.668941826678043e-05,6637.601153743362
0,70,0.038,0.019,0.037,0.015999999999999997,7.285353363674729e-05,6363.642703768195
0,71,0.038,0.019,0.037,0.014999999999999996,6.925012686307979e-05,6075.074889502058
0,72,0.038,0.019,0.037,0.013999999999999995,6.587919794577794e-05,5771.319372850199
0,73,0.038,0.019,0.036,0.013999999999999995,6.526344578567434e-05,5850.106729350265
0,74,0.038,0.018,0.036,0.013999999999999995,6.084636651472708e-05,6089.738961636697
0,75,0.037,0.018,0.036,0.013999999999999995,5.9828490494964e-05,6172.716082468045
0,76,0.037,0.018,0.036,0.012999999999999994,5.677486243567472e-05,5839.072040179168
0,77,0.038,0.018,0.036,0.012999999999999994,5.779273845543781e-05,5760.696643548897
0,78,0.038,0.018,0.037,0.012999999999999994,5.832366761389448e-05,5683.06841557186
0,79,0.038,0.018,0.036,0.012999999999999994,5.779273845543781e-05,5760.696643548897
0,80,0.038,0.019,0.036,0.012999999999999994,6.220981772638506e-05,5526.420936232486
0,81,0.039,0.019,0.036,0.012999999999999994,6.334393267433099e-05,5453.733338665351
0,82,0.039,0.02,0.036,0.012999999999999994,6.812229510044105e-05,5238.608708851872
0,83,0.039,0.019,0.036,0.012999999999999994,6.334393267433099e-05,5453.733338665351
0,84,0.039,0.018,0.036,0.012999999999999994,5.881061447520091e-05,5684.797884311543
0,85,0.039,0.019,0.036,0.012999999999999994,6.334393267433099e-05,5453.733338665351
0,86,0.039,0.019,0.036,0.013999999999999995,6.639756073362026e-05,5772.986464358068
0,87,0.039,0.018,0.036,0.013999999999999995,6.186424253449019e-05,6009.305735081264
0,88,0.038,0.018,0.036,0.013999999999999995,6.084636651472708e-05,6089.738961636697
0,89,0.038,0.018,0.036,0.014999999999999996,6.412618924507484e-05,6401.472382649349
0,90,0.038,0.018,0.036,0.013999999999999995,6.084636651472708e-05,6089.738961636697
0,91,0.037,0.018,0.036,0.013999999999999995,5.9828490494964e-05,6172.716082468045
0,92,0.037,0.016999999999999998,0.036,0.013999999999999995,5.5760128008565216e-05,6433.091616325498
0,93,0.037,0.016999999999999998,0.037,0.013999999999999995,5.637588016866881e-05,6345.831477030728
0,94,0.037,0.018,0.037,0.013999999999999995,6.0444242655067595e-05,6088.945932742342
0,95,0.037,0.018,0.037,0.012999999999999994,5.7305791594131384e-05,5759.771397034253
0,96,0.037,0.018,0.037,0.011999999999999993,5.439981838956083e-05,5412.737489419457
0,97,0.037,0.018,0.037,0.010999999999999992,5.172632304135592e-05,5047.399186416101
0,98,0.037,0.018,0.037,0.009999999999999992,4.9285305549516644e-05,4663.486885222886
0,99,0.037,0.018,0.036,0.009999999999999992,4.897114628415766e-05,4727.842060522798
1,0,0.04,0.02,0.04,0.02,0.0001005309649148734,6698.025815988648
1,1,0.04,0.02,0.041,0.02,0.0001017876019763093,6615.232209140221
1,2,0.04,0.02,0.041,0.019,9.676419532321924e-05,6398.550480547917
1,3,0.04,0.02,0.041,0.018,9.19983992677235e-05,6170.759451664928
1,4,0.04,0.021,0.041,0.018,9.715061121961075e-05,5967.095621898612
1,5,0.04,0.02,0.041,0.018,9.19983992677235e-05,6170.759451664928
1,6,0.04,0.02,0.041,0.016999999999999998,8.749021380982215e-05,5931.338827828828
1,7,0.04,0.02,0.042,0.016999999999999998,8.839813408670961e-05,5859.186276781025
1,8,0.04,0.02,0.043000000000000003,0.016999999999999998,8.930605436359705e-05,5788.952604860591
1,9,0.04,0.02,0.043000000000000003,0.015999999999999997,8.484813438815312e-05,5543.656499393584
1,10,0.04,0.019,0.043000000000000003,0.015999999999999997,7.994724984855305e-05,5750.118216008158
1,11,0.04,0.019,0.042,0.015999999999999997,7.914300212923407e-05,5819.864110991184
1,12,0.04,0.019,0.042,0.014999999999999996,7.505264849426015e-05,5555.979049437505
1,13,0.04,0.019,0.041,0.014999999999999996,7.434579014720245e-05,5624.306032864219
1,14,0.039,0.019,0.041,0.014999999999999996,7.321167519925652e-05,5695.138689778993
1,15,0.039,0.02,0.041,0.014999999999999996,7.79900376253666e-05,5483.916967388205
1,16,0.039,0.019,0.041,0.014999999999999996,7.321167519925652e-05,5695.138689778993
1,17,0.038,0.019,0.041,0.014999999999999996,7.20775602513106e-05,5768.082694059236
1,18,0.038,0.019,0.041,0.013999999999999995,6.834220658619234e-05,5479.886316248372
1,19,0.038,0.018,0.041,0.013999999999999995,6.392512731524508e-05,5704.248695216308
1,20,0.038,0.018,0.041,0.014999999999999996,6.766048098036335e-05,5996.148035925765
1,21,0.038,0.018,0.042,0.014999999999999996,6.836733932742105e-05,5921.858120678165
1,22,0.038,0.018,0.041,0.014999999999999996,6.766048098036335e-05,5996.148035925765
1,23,0.037,0.018,0.041,0.014999999999999996,6.664260496060027e-05,6074.0516039503045
1,24,0.037,0.018,0.041,0.015999999999999997,7.063556922331288e-05,6353.623371876219
1,25,0.037,0.016999999999999998,0.041,0.015999999999999997,6.65672067369141e-05,6601.798023878666
1,26,0.036,0.016999999999999998,0.041,0.015999999999999997,6.565928646002665e-05,6688.145857157289
1,27,0.036,0.015999999999999997,0.041,0.015999999999999997,6.192707438756197e-05,6955.094547787028
1,28,0.034999999999999996,0.015999999999999997,0.041,0.015999999999999997,6.112282666824299e-05,7046.748117625552
1,29,0.036,0.015999999999999997,0.041,0.015999999999999997,6.192707438756197e-05,6955.094547787028
1,30,0.036,0.016999999999999998,0.041,0.015999999999999997,6.565928646002665e-05,6688.145857157289
1,31,0.036,0.016999999999999998,0.042,0.015999999999999997,6.646353417934563e-05,6602.779202157663
1,32,0.036,0.016999999999999998,0.042,0.014999999999999996,6.237318054437174e-05,6322.2528638429285
1,33,0.036,0.016999999999999998,0.042,0.015999999999999997,6.646353417934563e-05,6602.779202157663
1,34,0.036,0.016999999999999998,0.041,0.015999999999999997,6.565928646002665e-05,6688.145857157289
1,35,0.036,0.016999999999999998,0.041,0.014999999999999996,6.166632219731402e-05,6403.516718459634
1,36,0.036,0.016999999999999998,0.042,0.014999999999999996,6.237318054437174e-05,6322.2528638429285
