Experiment,l_c,r_c,l_n,r_n,V,w
0,0.037,0.018,0.036,0.00899999999999999,4.682229690910225e-05,4319.80011732697
1,0.038,0.015999999999999997,0.039,0.010999999999999992,4.5386589066411706e-05,5326.079136630199
2,0.019245072459611663,0.028923083718179116,0.017000000000000005,0.00933986356941817,5.523650815441127e-05,5878.19836407301
3,0.033999999999999996,0.023000000000000003,0.04,0.002,5.7007340292040394e-05,765.8549207697522
4,0.0518251474999386,0.03239081950640662,0.04519336829064025,0.001,0.00017096023832619036,190.4869857548055
5,0.040197412409818306,0.021364272513091715,0.0704535278203351,0.001,5.7861364966875156e-05,264.29961519210013
6,0.045000000000000005,0.028000000000000008,0.030999999999999993,0.001,0.00011093277819090926,288.4783022083776
7,0.037,0.021,0.045000000000000005,0.001,5.140273899803619e-05,354.1056849818734
8,0.043000000000000003,0.02,0.042,0.001,5.416734053319522e-05,357.0352378068699
9,0.045000000000000005,0.027000000000000007,0.046000000000000006,0.001,0.00010320446026307837,244.36241400912826
10,0.04,0.015999999999999997,0.036,0.001,3.2283006108288696e-05,505.9335133280353
11,0.041,0.02,0.042,0.001,5.1654066410323384e-05,365.96860178092913
12,0.037740248818042166,0.02303323206781401,0.05937096962308875,0.001,6.308851130483954e-05,276.08696994722663
13,0.04408302410476447,0.03049702232319406,0.06830750074562736,0.001,0.00012902060439445973,178.14882925574204
14,0.04,0.019,0.04700000000000001,0.001,4.5512252772555336e-05,368.68112993714567
15,0.037,0.021,0.041,0.001,5.139017262742183e-05,371.63927559821394
16,0.042,0.022000000000000002,0.04,0.001,6.398795916831692e-05,335.95003512713765
17,0.04,0.024000000000000004,0.039,0.001,7.250481685219887e-05,319.13181412787134
18,0.04,0.02,0.04,0.001,5.039114616358029e-05,380.20271045567694
19,0.04,0.022000000000000002,0.039,0.001,6.0943755886988414e-05,349.1068835658646
20,0.04,0.023000000000000003,0.034999999999999996,0.002,6.691592352146261e-05,754.619389583886
21,0.043000000000000003,0.021,0.05100000000000001,0.001,5.973424271535634e-05,307.02007713543077
22,0.0751290099081058,0.013343937121072978,0.07445559693226184,0.001,4.226063063625096e-05,301.4243803443095
23,0.03480097438000412,0.010169122719939944,0.026354712562650567,0.001,1.1388776822403995e-05,1020.7034602117703
24,0.039,0.018,0.05400000000000001,0.001,3.986681077405447e-05,367.51555829204136
25,0.039,0.021,0.06500000000000002,0.001,5.42364555715742e-05,284.83409042896176
26,0.041,0.02,0.039,0.001,5.164464163236262e-05,380.32764082924376
27,0.043000000000000003,0.014999999999999996,0.04,0.001,3.052057262962483e-05,493.07850296879747
28,0.043000000000000003,0.016999999999999998,0.037,0.001,3.915681083434317e-05,451.1278302814302
29,0.034999999999999996,0.019,0.04,0.001,3.981968688425062e-05,429.7263966025339
30,0.043000000000000003,0.02,0.056000000000000015,0.002,5.473911039614856e-05,658.720451981247
31,0.043000000000000003,0.02,0.06000000000000002,0.001,5.422388920095983e-05,296.7908077208602
32,0.04,0.02,0.04700000000000001,0.001,5.041313731215542e-05,349.6645591958071
33,0.04,0.023000000000000003,0.05200000000000001,0.001,6.663946336794671e-05,287.33671043157557
34,0.037,0.018,0.05200000000000001,0.001,3.7824775549221105e-05,385.1771112747665
35,0.04,0.02,0.045000000000000005,0.001,5.040685412684824e-05,357.645532763285
36,0.041,0.016999999999999998,0.056000000000000015,0.002,3.792844810678956e-05,795.7745821957367
37,0.041,0.021,0.056000000000000015,0.001,5.697906595815809e-05,299.8082278035571
38,0.038,0.018,0.04,0.001,3.880495245714112e-05,435.43289578625775
39,0.018167571387616807,0.03594049228294204,0.02435942829325196,0.001,7.380152904604121e-05,404.0029650392294
40,0.038,0.018,0.046000000000000006,0.001,3.8823802013062655e-05,404.89217847882816
41,0.037,0.015999999999999997,0.04900000000000001,0.001,2.9911103654828406e-05,448.71769043924684
42,0.042,0.021,0.046000000000000006,0.001,5.833309239185529e-05,327.8371966969365
43,0.043000000000000003,0.025000000000000005,0.044000000000000004,0.001,8.456853264198368e-05,276.9646119657887
44,0.042,0.015999999999999997,0.04800000000000001,0.001,3.392920065876976e-05,424.63422570294205
45,0.06164288006447694,0.03357562611391926,0.07511816172571344,0.002,0.00021925768489057987,276.90991137013594
46,0.038,0.023000000000000003,0.079,0.02,0.0001624266233758995,4222.9205936166345
47,0.038,0.019,0.039,0.001,4.321889013543479e-05,417.1998283024817
48,0.060461039555602294,0.01519308855351504,0.06906743779724563,0.001,4.4061734074633366e-05,306.91110144294026
49,0.017900601905999743,0.023906934278054223,0.02470367758597356,0.001,3.2219045353880324e-05,616.8782175119213
50,0.042,0.019,0.037,0.002,4.8097783526459734e-05,868.4289840780091
51,0.03454870013780434,0.016306667768535198,0.07876107188778576,0.001,2.9108478796479254e-05,356.10531333138863
52,0.038,0.021,0.038,0.001,5.276619020969416e-05,381.28426962384276
53,0.038,0.022000000000000002,0.06100000000000002,0.003,5.9504906451644286e-05,932.5563505554283
54,0.036,0.02,0.05200000000000001,0.001,4.540229702967969e-05,350.41634839552
55,0.04,0.019,0.06100000000000002,0.001,4.555623506970559e-05,322.0264720954889
56,0.039168037552271835,0.009761150124515248,0.03006849430100114,0.001,1.1818675142202272e-05,935.0730106832502
57,0.051131816123249615,0.001,0.033742481452552875,0.001,2.6664046974273505e-07,6021.580116324638
58,0.04,0.021,0.057000000000000016,0.001,5.559676519057857e-05,300.88987968148433
59,0.036,0.019,0.06900000000000002,0.001,4.104490801915065e-05,319.015732529232
60,0.04,0.025000000000000005,0.04,0.001,7.866548004588845e-05,302.00649874149764
61,0.04,0.018,0.05000000000000001,0.001,4.08721204232032e-05,377.5205368964661
62,0.021359033679644368,0.009784346215930322,0.05764630108921688,0.001,6.604946835247399e-06,909.5470617649792
63,0.04726526420133855,0.02140324116709765,0.024001696432927884,0.001,6.809766286615728e-05,423.751167643092
64,0.04,0.019,0.039,0.001,4.548712003132662e-05,406.22285139833497
65,0.039,0.02,0.046000000000000006,0.002,4.958689844426129e-05,765.9825613568137
66,0.043000000000000003,0.023000000000000003,0.08,0.002,7.246711774035578e-05,475.5015650716803
67,0.038,0.021,0.06200000000000002,0.001,5.284158843338033e-05,295.8172828848303
68,0.042,0.02,0.04800000000000001,0.001,5.292955302768084e-05,337.23040732461396
69,0.042,0.022000000000000002,0.06000000000000002,0.001,6.405079102138872e-05,272.3990243250994
70,0.043000000000000003,0.018,0.042,0.001,4.390061574126377e-05,398.0969126531505
