,w,V
12,1001.4381349748171,4.389454145056167e-06
19,1069.6076588247256,3.897314428229607e-06
21,2394.1130978144874,1.0581468310418045e-06
42,1588.7554109313285,2.009358860118564e-06
44,232.4104130852223,6.563101212614439e-05
49,9816.983258983619,2.8495952752240356e-07
51,211.13964182507164,7.895697431884093e-05
59,233.06109432627275,6.517414593878915e-05
67,306.4686169649901,3.791274014352161e-05
68,867.4114493315649,6.098882923428412e-06
77,490.26886119640665,2.2688074957992206e-05
83,393.581898230549,2.8496156808256077e-05
87,154.7964146642051,0.00014370918180284627
91,265.1462017270005,5.0152385121907465e-05
94,280.3978429505649,4.6740615500108945e-05
95,355.1120439129803,2.8525661294595305e-05
100,332.281074736566,3.2421236185046645e-05
101,146.58201615409104,0.0001621404275025553
107,865.3412837839234,7.887982577673442e-06
111,299.9300378699351,4.445353604829557e-05
112,213.05696003598987,7.878486056672488e-05
126,194.48305017067736,9.186016919096559e-05
128,282.14433483372784,4.4481810382177877e-05
129,260.0384078124124,5.7032473033269116e-05
132,322.65616679672434,3.474915634135669e-05
133,260.88211139642766,5.177344693115979e-05
134,248.30155658981585,5.843362335677017e-05
136,302.2778465569221,3.893061616328471e-05
138,219.27787983310557,7.263362215099604e-05
141,268.30309911524165,4.901827017396154e-05
144,239.74013396681406,6.339419815678845e-05
145,521.1913175484781,1.4937297114264885e-05
148,597.7712628720511,1.08711733520486e-05
