Experiment,l_c,r_c,l_n,r_n,V,w
0,0.032999999999999995,0.021,0.04900000000000001,0.010999999999999992,6.434610073082612e-05,3927.54282669239
1,0.05833821378997865,0.01636833896036498,0.03877290147663009,0.01907597308050176,9.342876317792389e-05,6094.593263152949
2,0.034999999999999996,0.024000000000000004,0.046000000000000006,0.002,6.391256094463077e-05,661.9775981611593
3,0.032999999999999995,0.019,0.034999999999999996,0.001,3.7535749025090845e-05,469.67773503442976
4,0.043000000000000003,0.022000000000000002,0.034999999999999996,0.001,6.549278204938643e-05,351.6769384182785
5,0.038,0.015999999999999997,0.043000000000000003,0.001,3.0696501818225854e-05,469.4446131785664
6,0.038,0.013999999999999995,0.04,0.001,2.3524245790080353e-05,559.3694587683716
7,0.033999999999999996,0.021,0.04,0.001,4.7230703954068946e-05,389.46665081255384
8,0.041,0.018,0.04,0.001,4.1858580516430395e-05,414.49249069344484
9,0.036,0.016999999999999998,0.041,0.001,3.281393526674538e-05,464.64045274578234
10,0.04823074802439964,0.0232833542079435,0.05631231800696218,0.002,8.284958236625128e-05,523.6544317977989
11,0.0626262275716283,0.003,0.07474413533157293,0.002,2.709977373975994e-06,2831.815916455725
12,0.01548992557549242,0.009247672905318586,0.07251666906836474,0.001,4.389454145056167e-06,1001.4381349748171
13,0.041,0.022000000000000002,0.04,0.001,6.246742832397946e-05,336.8273255009525
14,0.039,0.022000000000000002,0.036,0.001,5.941380026469018e-05,364.6958054893893
15,0.0379778642447627,0.010346280370525662,0.043692897353436615,0.001,1.2908970809709856e-05,730.8903764025139
16,0.0788862946716973,0.012781111963662658,0.01962894535842461,0.001,4.0546159524245336e-05,601.8601046232474
17,0.04575263091039059,0.03091267737785204,0.04619054943014185,0.001,0.00013749844025382575,208.74132800948735
18,0.038,0.021,0.037,0.001,5.276304861704058e-05,382.5027290067153
19,0.01,0.010808431006841594,0.07233190377566356,0.001,3.897314428229607e-06,1069.6076588247256
20,0.041,0.024000000000000004,0.039,0.001,7.431437422066659e-05,311.89293165791963
21,0.07109531190318298,0.0019948157437686825,0.053909744202878564,0.001,1.0581468310418045e-06,2394.1130978144874
22,0.041,0.021,0.043000000000000003,0.001,5.6938225253661416e-05,340.6274879635512
23,0.044000000000000004,0.02,0.04,0.001,5.541769440932396e-05,358.31019176205615
24,0.041,0.02,0.044000000000000004,0.001,5.166034959563057e-05,354.0565230323613
25,0.04,0.02,0.039,0.001,5.0388004570926705e-05,381.3698651906081
26,0.041,0.021,0.036,0.001,5.691623410508629e-05,372.8652506538332
27,0.04,0.022000000000000002,0.037,0.001,6.0937472701681234e-05,354.9599505836851
28,0.033999999999999996,0.02,0.039,0.001,4.284818220231119e-05,414.96815739157574
29,0.039,0.018,0.034999999999999996,0.001,3.980712051363627e-05,455.3933789458819
30,0.042,0.021,0.037,0.001,5.830481805797298e-05,363.1366092958002
31,0.04,0.018,0.04,0.001,4.0840704496667304e-05,419.8481521403768
32,0.038,0.021,0.039,0.001,5.276933180234776e-05,372.38750826960415
33,0.04,0.024000000000000004,0.042,0.001,7.251424163015964e-05,304.2396775229236
34,0.04,0.021,0.04900000000000001,0.001,5.557163244934985e-05,322.787088283781
35,0.039,0.021,0.05900000000000002,0.001,5.421760601565266e-05,297.46559745754195
36,0.041,0.023000000000000003,0.041,0.001,6.826680836250623e-05,317.71428695281486
37,0.02689937474603845,0.0077515542611219556,0.05944695920464546,0.001,5.264488558845312e-06,1002.0401118070308
38,0.04,0.016999999999999998,0.038,0.001,3.6436191596334414e-05,457.2673559701316
39,0.0471235914328104,0.0183940211684468,0.04170228460694649,0.001,5.021992592339433e-05,369.0994296207624
40,0.041,0.02,0.04800000000000001,0.001,5.1672915966244926e-05,338.6800810352173
41,0.036,0.019,0.036,0.001,4.094123546158218e-05,442.49517821551996
42,0.03584295051461553,0.004,0.06611158183288307,0.001,2.009358860118564e-06,1588.7554109313285
43,0.06305526169202572,0.02799895714040926,0.0496124995142092,0.002,0.0001559175349288348,402.4439343038928
44,0.043000000000000003,0.022000000000000002,0.079,0.001,6.563101212614439e-05,232.4104130852223
45,0.042,0.021,0.043000000000000003,0.001,5.8323667613894516e-05,336.4004702955644
46,0.04,0.022000000000000002,0.037,0.001,6.0937472701681234e-05,354.9599505836851
47,0.04,0.02,0.041,0.001,5.039428775623387e-05,371.77208722286764
48,0.037,0.016999999999999998,0.039,0.001,3.3715572358325656e-05,469.9237118376963
49,0.018076789885684362,0.002084600996287281,0.012151635969133337,0.001,2.8495952752240356e-07,9816.983258983619
50,0.04,0.018,0.04,0.001,4.0840704496667304e-05,419.8481521403768
51,0.07373657778791765,0.018432964586782816,0.079,0.001,7.895697431884093e-05,211.13964182507164
52,0.042,0.019,0.041,0.001,4.776163311252563e-05,382.217578416888
53,0.037,0.022000000000000002,0.039,0.001,5.6382163353976027e-05,359.8441970033002
54,0.039,0.02,0.04,0.001,4.913450910214436e-05,381.4629942282726
55,0.04,0.02,0.037,0.001,5.038172138561952e-05,391.73351169203437
56,0.04,0.022000000000000002,0.04,0.001,6.0946897479642e-05,341.16503061588776
57,0.041,0.022000000000000002,0.038,0.001,6.246114513867228e-05,345.7260994681801
58,0.06343799697544629,0.03520008540022855,0.022050774380206438,0.001,0.00024700661638360467,223.70585028105774
59,0.059379634208008465,0.018655869494600835,0.079,0.001,6.517414593878915e-05,233.06109432627275
60,0.044000000000000004,0.019,0.08,0.02,0.00015043202262449365,4480.290384741607
61,0.038,0.019,0.042,0.001,4.322831491339555e-05,397.69227893437125
62,0.04,0.02,0.038,0.001,5.038486297827311e-05,386.44975300666215
63,0.042,0.019,0.039,0.001,4.775534992721845e-05,392.08988391157135
64,0.042,0.022000000000000002,0.042,0.002,6.439008302797642e-05,689.3898829161753
65,0.044000000000000004,0.022000000000000002,0.042,0.001,6.703530404229903e-05,316.7764266851653
66,0.039,0.02,0.07000000000000002,0.001,4.922875688175206e-05,286.60155403689043
67,0.037,0.018,0.08,0.001,3.791274014352161e-05,306.4686169649901
68,0.07121318237050056,0.005130513407020379,0.06684939187953684,0.001,6.098882923428412e-06,867.4114493315649
69,0.039,0.022000000000000002,0.04,0.001,5.942636663530454e-05,345.67154809398716
70,0.039,0.024000000000000004,0.041,0.001,7.070154266903833e-05,312.0438323429028
71,0.037,0.023000000000000003,0.046000000000000006,0.001,6.163490627077816e-05,315.9980458232809
72,0.039,0.022000000000000002,0.08,0.002,6.030601257830968e-05,518.2412280562838
73,0.041,0.02,0.07400000000000002,0.002,5.245203094433519e-05,579.0648966785328
74,0.036442900518168474,0.018637580075357835,0.0578958711624236,0.001,3.9950627221383015e-05,351.7905571628468
75,0.04,0.018,0.042,0.001,4.0846987681974484e-05,409.51552893955494
76,0.04,0.022000000000000002,0.06300000000000001,0.001,6.1019154110674566e-05,270.6883798725527
77,0.0348565232726921,0.014340314550483447,0.05378202563747703,0.001,2.2688074957992206e-05,490.26886119640665
78,0.04,0.021,0.04800000000000001,0.001,5.5568490856696266e-05,326.1996212857905
79,0.04318126944147323,0.00932492076656916,0.045945249327166135,0.001,1.1940363394393869e-05,741.5908205922349
80,0.038,0.022000000000000002,0.04,0.001,5.790583579096708e-05,350.3580141954661
81,0.07187867494953845,0.016776821149573087,0.02045241994508862,0.001,6.362211589500004e-05,467.29206174363884
82,0.041,0.021,0.044000000000000004,0.001,5.694136684631501e-05,336.6611454897672
83,0.07433806540010143,0.011006431498151371,0.0651811291025704,0.001,2.8496156808256077e-05,393.581898230549
84,0.037,0.013999999999999995,0.042,0.001,2.2914776815283934e-05,553.1974356001326
85,0.039,0.018,0.04,0.001,3.982282847690421e-05,425.4116845749343
86,0.041,0.023000000000000003,0.06800000000000002,0.001,6.835163136415316e-05,245.62448631801587
87,0.05853204921905239,0.027931249525833916,0.08,0.001,0.00014370918180284627,154.7964146642051
88,0.04,0.022000000000000002,0.044000000000000004,0.001,6.0959463850256365e-05,325.0126532821066
89,0.05029889020982561,0.005162907273745716,0.06033610347305735,0.001,4.401634512376828e-06,1087.975232826149
90,0.037,0.024000000000000004,0.07000000000000002,0.001,6.717353411905698e-05,244.25838446010277
91,0.044000000000000004,0.019,0.08,0.001,5.0152385121907465e-05,265.1462017270005
92,0.039,0.022000000000000002,0.06200000000000002,0.001,5.9495481673683516e-05,276.4895629761368
93,0.036,0.022000000000000002,0.06600000000000002,0.001,5.494645551128548e-05,279.08961626123005
94,0.041,0.019,0.07700000000000003,0.001,4.6740615500108945e-05,280.3978429505649
95,0.04,0.014999999999999996,0.08,0.001,2.8525661294595305e-05,355.1120439129803
96,0.041,0.015999999999999997,0.041,0.001,3.3102961790875637e-05,462.37827051428314
97,0.042,0.016999999999999998,0.055000000000000014,0.001,3.830543922522034e-05,368.962717392986
98,0.043000000000000003,0.023000000000000003,0.07000000000000002,0.001,7.168171957695834e-05,236.1814601692123
99,0.041,0.019,0.05400000000000001,0.001,4.666835886907638e-05,336.22849659088433
100,0.04,0.015999999999999997,0.08,0.001,3.2421236185046645e-05,332.281074736566
101,0.050568360979598555,0.03192262845583805,0.079,0.001,0.0001621404275025553,146.58201615409104
102,0.041,0.018,0.041,0.001,4.1861722109083986e-05,409.2999415128206
103,0.043000000000000003,0.019,0.04900000000000001,0.001,4.892088080170026e-05,344.73662231022905
104,0.01634961638530251,0.02592217029510777,0.03380547003274005,0.001,3.462058955584815e-05,499.0673912205173
105,0.06807860025168913,0.005075104057443804,0.011514812428045255,0.001,5.5448909752601145e-06,2133.781346460079
106,0.041,0.022000000000000002,0.044000000000000004,0.001,6.247999469459383e-05,320.88485095138407
107,0.022244550236614966,0.010513150303502763,0.05221435184658524,0.001,7.887982577673442e-06,865.3412837839234
108,0.07732111852219098,0.015870116671544775,0.050175010791684356,0.001,6.13374557527131e-05,302.5229382619245
109,0.039,0.02,0.05000000000000001,0.001,4.916592502868026e-05,340.39950702675105
110,0.04,0.02,0.05800000000000002,0.001,5.04476948313449e-05,311.4279202987098
111,0.039,0.019,0.07100000000000002,0.001,4.445353604829557e-05,299.9300378699351
112,0.04,0.025000000000000005,0.07800000000000003,0.001,7.878486056672488e-05,213.05696003598987
113,0.04,0.016999999999999998,0.05300000000000001,0.001,3.648331548613826e-05,385.68115516179927
114,0.038,0.026000000000000006,0.08,0.002,8.170654173456337e-05,442.83664621742264
115,0.043000000000000003,0.023000000000000003,0.07200000000000002,0.001,7.168800276226551e-05,232.8229578676623
116,0.039,0.021,0.07400000000000002,0.001,5.4264729905456504e-05,264.9716041498039
117,0.041,0.024000000000000004,0.07600000000000003,0.001,7.44306131488494e-05,222.23847216049018
118,0.024184755475057045,0.013275967526543284,0.05210576268170744,0.001,1.3555031984694991e-05,652.4715418151039
119,0.041,0.02,0.039,0.001,5.164464163236262e-05,376.51110221459334
120,0.04,0.02,0.044000000000000004,0.001,5.0403712534194656e-05,358.6202046215475
121,0.010307142888350721,0.02494478408925188,0.0355714447801348,0.001,2.0260480557522916e-05,643.1175331921559
122,0.037,0.016999999999999998,0.057000000000000016,0.001,3.377212102609027e-05,386.8910006391549
123,0.039,0.018,0.06900000000000002,0.001,3.991393466385832e-05,321.76705589127937
124,0.036,0.022000000000000002,0.07400000000000002,0.001,5.4971588252514204e-05,263.2553171758616
125,0.04,0.02,0.07800000000000003,0.002,5.1245659365356716e-05,570.9859330960118
126,0.04,0.027000000000000007,0.08,0.001,9.186016919096559e-05,194.48305017067736
